log_id,date_reported,equipment_id,issue_reported,priority,status,assigned_to,expected_resolution_date,actual_resolution_date,resolution_summary,downtime_hours,brakes_replaced,tires_replaced,chain_replaced,gears_replaced,electronics_replaced
1,2024-10-29,1018,Leakage,Low,Open,Alice,2025-08-25,2025-08-26,Replaced faulty valve,1.09,Yes,No,No,No,No
2,2024-10-30,1019,Overheating,Low,In Progress,David,2025-08-26,2025-08-27,Routine inspection,0.28,No,No,Yes,No,No
3,2024-10-31,1006,Pressure drop,Medium,Closed,David,2025-08-27,2025-08-28,Lubricated moving parts,2.02,No,No,No,No,No
4,2024-11-01,1002,Overheating,Medium,In Progress,David,2025-08-28,2025-08-29,Replaced faulty valve,0.57,No,No,Yes,No,No
5,2024-11-02,1013,Pressure drop,Low,Closed,Bob,2025-08-29,2025-08-30,Lubricated moving parts,0.05,No,No,No,No,No
6,2024-11-03,1011,Pressure drop,Low,Closed,David,2025-08-30,2025-08-31,Adjusted pressure,0.28,No,No,No,No,No
7,2024-11-04,1001,Pressure drop,Medium,Closed,Bob,2025-08-31,2025-09-01,Replaced faulty valve,1.45,No,Yes,No,No,No
8,2024-11-05,1002,Overheating,Low,Closed,Bob,2025-09-01,2025-09-02,Adjusted pressure,0.07,No,No,No,No,No
9,2024-11-06,1017,Pressure drop,High,Open,Charlie,2025-09-02,2025-09-03,Replaced faulty valve,0.16,No,No,No,No,No
10,2024-11-07,1008,Leakage,Medium,In Progress,David,2025-09-03,2025-09-04,Replaced faulty valve,1.18,No,No,Yes,No,No
11,2024-11-08,1002,Routine check,Medium,Open,David,2025-09-04,2025-09-05,Routine inspection,2.23,No,No,No,Yes,No
12,2024-11-09,1006,Routine check,Medium,Closed,David,2025-09-05,2025-09-06,Adjusted pressure,1.0,No,No,No,No,No
13,2024-11-10,1005,Pressure drop,Low,Open,Bob,2025-09-06,2025-09-07,Adjusted pressure,0.25,No,No,No,No,No
14,2024-11-11,1016,Routine check,High,In Progress,Bob,2025-09-07,2025-09-08,Adjusted pressure,0.05,No,Yes,No,No,No
15,2024-11-12,1008,Routine check,Low,In Progress,David,2025-09-08,2025-09-09,Replaced faulty valve,0.95,Yes,No,No,No,No
16,2024-11-13,1019,Pressure drop,Medium,Closed,Bob,2025-09-09,2025-09-10,Adjusted pressure,0.05,No,No,No,No,No
17,2024-11-14,1016,Pressure drop,Medium,In Progress,Bob,2025-09-10,2025-09-11,Adjusted pressure,0.95,No,No,No,No,No
18,2024-11-15,1013,Leakage,Low,Closed,Alice,2025-09-11,2025-09-12,Routine inspection,0.26,No,No,No,No,No
19,2024-11-16,1007,Vibration abnormal,Medium,Open,Alice,2025-09-12,2025-09-13,Lubricated moving parts,2.35,No,No,No,No,No
20,2024-11-17,1016,Overheating,High,Open,David,2025-09-13,2025-09-14,Lubricated moving parts,0.64,Yes,No,No,No,No
21,2024-11-18,1016,Pressure drop,Medium,In Progress,David,2025-09-14,2025-09-15,Adjusted pressure,0.25,No,No,No,No,No
22,2024-11-19,1012,Pressure drop,High,Closed,Alice,2025-09-15,2025-09-16,Adjusted pressure,1.92,No,No,No,No,No
23,2024-11-20,1014,Routine check,High,Closed,Bob,2025-09-16,2025-09-17,Adjusted pressure,0.29,No,No,No,No,No
24,2024-11-21,1018,Leakage,Medium,Open,Bob,2025-09-17,2025-09-18,Adjusted pressure,0.37,No,No,Yes,No,No
25,2024-11-22,1018,Routine check,Medium,Open,Charlie,2025-09-18,2025-09-19,Lubricated moving parts,1.8,No,No,No,No,Yes
26,2024-11-23,1016,Pressure drop,Medium,Closed,David,2025-09-19,2025-09-20,Routine inspection,0.37,No,No,No,No,No
27,2024-11-24,1016,Pressure drop,Medium,Open,David,2025-09-20,2025-09-21,Replaced faulty valve,0.53,No,Yes,No,No,No
28,2024-11-25,1013,Routine check,Low,Open,David,2025-09-21,2025-09-22,Adjusted pressure,0.43,No,No,No,No,No
29,2024-11-26,1009,Pressure drop,High,Open,Charlie,2025-09-22,2025-09-23,Adjusted pressure,0.12,No,Yes,No,No,No
30,2024-11-27,1009,Vibration abnormal,Medium,Open,Charlie,2025-09-23,2025-09-24,Lubricated moving parts,0.04,No,No,No,Yes,No
31,2024-11-28,1013,Overheating,Medium,In Progress,Bob,2025-09-24,2025-09-25,Adjusted pressure,1.29,No,No,No,Yes,No
32,2024-11-29,1004,Overheating,Medium,Open,Alice,2025-09-25,2025-09-26,Routine inspection,1.04,No,No,No,No,No
33,2024-11-30,1009,Overheating,Medium,In Progress,Alice,2025-09-26,2025-09-27,Routine inspection,0.33,No,No,No,No,No
34,2024-12-01,1015,Vibration abnormal,High,Closed,Alice,2025-09-27,2025-09-28,Adjusted pressure,0.35,No,No,No,No,No
35,2024-12-02,1014,Pressure drop,Medium,In Progress,Bob,2025-09-28,2025-09-29,Lubricated moving parts,2.9,No,No,No,No,No
36,2024-12-03,1019,Routine check,Low,Closed,Alice,2025-09-29,2025-09-30,Adjusted pressure,4.4,No,No,No,No,Yes
37,2024-12-04,1012,Leakage,Low,Open,Charlie,2025-09-30,2025-10-01,Adjusted pressure,0.64,Yes,No,No,No,No
38,2024-12-05,1006,Pressure drop,High,Closed,Charlie,2025-10-01,2025-10-02,Lubricated moving parts,1.62,No,No,No,No,No
39,2024-12-06,1003,Vibration abnormal,Medium,In Progress,David,2025-10-02,2025-10-03,Routine inspection,1.33,No,No,No,No,No
40,2024-12-07,1016,Vibration abnormal,High,Closed,Alice,2025-10-03,2025-10-04,Replaced faulty valve,0.35,No,No,No,No,No
41,2024-12-08,1017,Overheating,Low,Open,Charlie,2025-10-04,2025-10-05,Adjusted pressure,0.06,No,No,No,No,No
42,2024-12-09,1016,Pressure drop,Low,Closed,David,2025-10-05,2025-10-06,Routine inspection,0.15,No,Yes,No,No,No
43,2024-12-10,1006,Overheating,Low,In Progress,Alice,2025-10-06,2025-10-07,Adjusted pressure,1.82,No,No,No,No,Yes
44,2024-12-11,1008,Leakage,Medium,In Progress,Alice,2025-10-07,2025-10-08,Replaced faulty valve,1.31,No,No,No,No,No
45,2024-12-12,1019,Overheating,Medium,Closed,Charlie,2025-10-08,2025-10-09,Lubricated moving parts,1.09,No,No,No,Yes,No
46,2024-12-13,1002,Leakage,Low,Closed,David,2025-10-09,2025-10-10,Routine inspection,0.14,No,Yes,No,No,No
47,2024-12-14,1014,Vibration abnormal,Medium,In Progress,David,2025-10-10,2025-10-11,Replaced faulty valve,1.02,No,No,No,No,No
48,2024-12-15,1012,Overheating,Medium,Closed,Charlie,2025-10-11,2025-10-12,Adjusted pressure,1.48,No,No,No,No,Yes
49,2024-12-16,1017,Overheating,Low,In Progress,Charlie,2025-10-12,2025-10-13,Replaced faulty valve,1.97,No,No,No,No,No
50,2024-12-17,1015,Routine check,Medium,Open,Charlie,2025-10-13,2025-10-14,Routine inspection,0.01,No,No,No,No,Yes
51,2024-12-18,1018,Vibration abnormal,Medium,Closed,Alice,2025-10-14,2025-10-15,Lubricated moving parts,1.15,No,No,No,No,No
52,2024-12-19,1016,Routine check,Low,In Progress,Charlie,2025-10-15,2025-10-16,Adjusted pressure,0.02,No,No,No,No,No
53,2024-12-20,1013,Leakage,Low,Closed,Charlie,2025-10-16,2025-10-17,Lubricated moving parts,1.23,No,No,No,No,No
54,2024-12-21,1017,Leakage,Medium,Open,Bob,2025-10-17,2025-10-18,Lubricated moving parts,1.01,No,No,No,No,No
55,2024-12-22,1008,Vibration abnormal,Medium,Closed,Charlie,2025-10-18,2025-10-19,Replaced faulty valve,0.16,No,Yes,No,No,No
56,2024-12-23,1001,Leakage,High,Closed,Charlie,2025-10-19,2025-10-20,Replaced faulty valve,1.45,No,No,No,No,No
57,2024-12-24,1003,Vibration abnormal,Medium,Closed,Alice,2025-10-20,2025-10-21,Routine inspection,0.07,No,No,No,No,No
58,2024-12-25,1016,Leakage,Low,Closed,David,2025-10-21,2025-10-22,Routine inspection,1.75,No,No,No,No,No
59,2024-12-26,1002,Pressure drop,High,Open,Alice,2025-10-22,2025-10-23,Lubricated moving parts,0.3,No,Yes,No,No,No
60,2024-12-27,1015,Overheating,High,Closed,Bob,2025-10-23,2025-10-24,Routine inspection,1.17,Yes,No,No,No,No
61,2024-12-28,1001,Pressure drop,Medium,Open,Charlie,2025-10-24,2025-10-25,Lubricated moving parts,2.57,No,Yes,No,No,No
62,2024-12-29,1009,Vibration abnormal,High,Closed,Charlie,2025-10-25,2025-10-26,Adjusted pressure,0.42,No,No,No,No,No
63,2024-12-30,1016,Vibration abnormal,Medium,Closed,Charlie,2025-10-26,2025-10-27,Lubricated moving parts,0.7,No,No,Yes,No,No
64,2024-12-31,1004,Pressure drop,Medium,In Progress,Charlie,2025-10-27,2025-10-28,Routine inspection,0.62,No,No,No,No,No
65,2025-01-01,1012,Overheating,Medium,Closed,Charlie,2025-10-28,2025-10-29,Routine inspection,0.17,No,No,No,No,No
66,2025-01-02,1001,Overheating,Medium,Open,Charlie,2025-10-29,2025-10-30,Lubricated moving parts,0.89,No,No,No,No,No
67,2025-01-03,1001,Routine check,Low,In Progress,Bob,2025-10-30,2025-10-31,Replaced faulty valve,1.36,No,No,No,No,No
68,2025-01-04,1007,Leakage,High,In Progress,Charlie,2025-10-31,2025-11-01,Lubricated moving parts,2.49,No,No,Yes,No,No
69,2025-01-05,1018,Routine check,High,Closed,Charlie,2025-11-01,2025-11-02,Lubricated moving parts,1.9,No,No,No,No,No
70,2025-01-06,1015,Overheating,Medium,Open,Charlie,2025-11-02,2025-11-03,Replaced faulty valve,0.71,No,No,No,No,No
71,2025-01-07,1013,Pressure drop,Medium,Closed,Bob,2025-11-03,2025-11-04,Adjusted pressure,1.27,No,No,No,No,No
72,2025-01-08,1016,Leakage,Low,Open,Charlie,2025-11-04,2025-11-05,Replaced faulty valve,1.61,No,No,No,No,No
73,2025-01-09,1007,Pressure drop,Low,Closed,Bob,2025-11-05,2025-11-06,Routine inspection,0.68,No,Yes,No,No,No
74,2025-01-10,1016,Routine check,Low,Open,Alice,2025-11-06,2025-11-07,Replaced faulty valve,0.12,No,No,Yes,No,No
75,2025-01-11,1013,Vibration abnormal,Medium,Closed,Charlie,2025-11-07,2025-11-08,Routine inspection,0.58,No,No,No,No,No
76,2025-01-12,1014,Pressure drop,High,Open,David,2025-11-08,2025-11-09,Routine inspection,1.85,No,No,No,No,No
77,2025-01-13,1017,Routine check,Low,Closed,Bob,2025-11-09,2025-11-10,Lubricated moving parts,0.91,No,No,Yes,No,No
78,2025-01-14,1012,Routine check,Low,In Progress,Alice,2025-11-10,2025-11-11,Lubricated moving parts,1.29,No,No,No,Yes,No
79,2025-01-15,1013,Routine check,Medium,Closed,Bob,2025-11-11,2025-11-12,Adjusted pressure,0.2,No,No,No,Yes,No
80,2025-01-16,1015,Vibration abnormal,Low,In Progress,Bob,2025-11-12,2025-11-13,Routine inspection,3.33,No,No,No,No,No
81,2025-01-17,1004,Vibration abnormal,High,Closed,Alice,2025-11-13,2025-11-14,Lubricated moving parts,0.52,No,No,No,No,No
82,2025-01-18,1002,Vibration abnormal,Medium,In Progress,Charlie,2025-11-14,2025-11-15,Routine inspection,1.06,No,No,No,No,No
83,2025-01-19,1018,Leakage,Low,Closed,Charlie,2025-11-15,2025-11-16,Adjusted pressure,0.02,No,No,No,No,No
84,2025-01-20,1002,Vibration abnormal,Low,Open,Bob,2025-11-16,2025-11-17,Routine inspection,0.14,No,Yes,No,No,No
85,2025-01-21,1015,Vibration abnormal,Low,In Progress,Alice,2025-11-17,2025-11-18,Adjusted pressure,1.52,No,Yes,No,No,No
86,2025-01-22,1019,Vibration abnormal,Medium,In Progress,Charlie,2025-11-18,2025-11-19,Adjusted pressure,3.44,No,No,No,No,No
87,2025-01-23,1015,Pressure drop,Low,Open,Bob,2025-11-19,2025-11-20,Adjusted pressure,0.39,No,No,No,No,No
88,2025-01-24,1010,Vibration abnormal,Medium,Open,David,2025-11-20,2025-11-21,Lubricated moving parts,0.04,No,Yes,No,No,No
89,2025-01-25,1011,Leakage,Medium,Closed,Alice,2025-11-21,2025-11-22,Replaced faulty valve,0.45,No,No,No,No,No
90,2025-01-26,1010,Routine check,Low,Closed,David,2025-11-22,2025-11-23,Replaced faulty valve,0.02,No,No,No,No,No
91,2025-01-27,1005,Pressure drop,Low,Closed,David,2025-11-23,2025-11-24,Lubricated moving parts,0.21,No,No,No,No,No
92,2025-01-28,1009,Overheating,Medium,In Progress,Bob,2025-11-24,2025-11-25,Routine inspection,1.4,Yes,No,No,No,No
93,2025-01-29,1019,Vibration abnormal,Medium,In Progress,Alice,2025-11-25,2025-11-26,Lubricated moving parts,2.77,No,No,No,Yes,No
94,2025-01-30,1013,Routine check,High,Closed,Charlie,2025-11-26,2025-11-27,Routine inspection,0.09,No,No,No,No,Yes
95,2025-01-31,1018,Routine check,Low,Open,Charlie,2025-11-27,2025-11-28,Adjusted pressure,0.82,No,No,No,No,No
96,2025-02-01,1017,Pressure drop,Low,Closed,Bob,2025-11-28,2025-11-29,Lubricated moving parts,0.29,No,No,No,No,No
97,2025-02-02,1006,Overheating,Low,In Progress,Charlie,2025-11-29,2025-11-30,Replaced faulty valve,0.15,No,No,No,Yes,No
98,2025-02-03,1010,Leakage,Medium,Closed,Charlie,2025-11-30,2025-12-01,Routine inspection,0.25,No,No,No,No,Yes
99,2025-02-04,1002,Routine check,Medium,In Progress,David,2025-12-01,2025-12-02,Lubricated moving parts,0.86,No,No,No,No,No
100,2025-02-05,1006,Routine check,High,Closed,David,2025-12-02,2025-12-03,Lubricated moving parts,0.07,No,No,No,No,No
101,2025-02-06,1013,Routine check,Medium,Open,Alice,2025-12-03,2025-12-04,Routine inspection,0.57,No,No,No,No,No
102,2025-02-07,1018,Routine check,Low,Closed,David,2025-12-04,2025-12-05,Adjusted pressure,0.15,No,Yes,No,No,No
103,2025-02-08,1007,Pressure drop,Medium,In Progress,Charlie,2025-12-05,2025-12-06,Adjusted pressure,0.32,No,No,No,No,No
104,2025-02-09,1002,Overheating,High,Closed,Alice,2025-12-06,2025-12-07,Adjusted pressure,0.21,Yes,No,No,No,No
105,2025-02-10,1014,Routine check,Medium,Closed,Alice,2025-12-07,2025-12-08,Adjusted pressure,2.15,No,No,Yes,No,No
106,2025-02-11,1005,Leakage,Medium,Open,Bob,2025-12-08,2025-12-09,Routine inspection,1.23,No,No,No,No,No
107,2025-02-12,1018,Leakage,High,In Progress,David,2025-12-09,2025-12-10,Replaced faulty valve,2.03,No,No,No,Yes,No
108,2025-02-13,1011,Vibration abnormal,Medium,In Progress,Alice,2025-12-10,2025-12-11,Lubricated moving parts,0.48,No,No,No,Yes,No
109,2025-02-14,1010,Routine check,Medium,In Progress,Charlie,2025-12-11,2025-12-12,Lubricated moving parts,0.38,No,No,No,No,No
110,2025-02-15,1011,Routine check,Low,In Progress,Alice,2025-12-12,2025-12-13,Adjusted pressure,0.48,No,No,Yes,No,No
111,2025-02-16,1002,Routine check,Medium,In Progress,Alice,2025-12-13,2025-12-14,Routine inspection,0.02,No,No,No,No,No
112,2025-02-17,1015,Routine check,Low,In Progress,Bob,2025-12-14,2025-12-15,Replaced faulty valve,1.29,Yes,No,No,No,No
113,2025-02-18,1007,Routine check,Medium,Closed,Charlie,2025-12-15,2025-12-16,Replaced faulty valve,0.43,No,No,No,No,No
114,2025-02-19,1009,Leakage,Low,Closed,Charlie,2025-12-16,2025-12-17,Lubricated moving parts,0.38,No,Yes,No,No,No
115,2025-02-20,1005,Overheating,High,In Progress,David,2025-12-17,2025-12-18,Adjusted pressure,0.91,No,No,No,No,No
